temperature.celsius,temperature.fahrenheit,yeast.ady,yeast.idy,yeast.cy,hours
1.67,35,0.004,0.003,0.01,-1
2.22,36,0.004,0.003,0.01,-1
2.78,37,0.004,0.003,0.01,-1
3.33,38,0.004,0.003,0.01,-1
3.89,39,0.004,0.003,0.01,-1
4.44,40,0.004,0.003,0.01,-1
5.0,41,0.004,0.003,0.01,-1
5.56,42,0.004,0.003,0.01,-1
6.11,43,0.004,0.003,0.01,-1
6.67,44,0.004,0.003,0.01,-1
7.22,45,0.004,0.003,0.01,-1
7.78,46,0.004,0.003,0.01,-1
8.33,47,0.004,0.003,0.01,-1
8.89,48,0.004,0.003,0.01,-1
9.44,49,0.004,0.003,0.01,-1
10.0,50,0.004,0.003,0.01,-1
10.56,51,0.004,0.003,0.01,-1
11.11,52,0.004,0.003,0.01,-1
11.67,53,0.004,0.003,0.01,-1
12.22,54,0.004,0.003,0.01,-1
12.78,55,0.004,0.003,0.01,-1
13.33,56,0.004,0.003,0.01,-1
13.89,57,0.004,0.003,0.01,-1
14.44,58,0.004,0.003,0.01,-1
15.0,59,0.004,0.003,0.01,-1
15.56,60,0.004,0.003,0.01,-1
16.11,61,0.004,0.003,0.01,-1
16.67,62,0.004,0.003,0.01,-1
17.22,63,0.004,0.003,0.01,-1
17.78,64,0.004,0.003,0.01,162.0
18.33,65,0.004,0.003,0.01,152.0
18.89,66,0.004,0.003,0.01,142.0
19.44,67,0.004,0.003,0.01,133.0
20.0,68,0.004,0.003,0.01,120.0
20.56,69,0.004,0.003,0.01,109.0
21.11,70,0.004,0.003,0.01,99.0
21.67,71,0.004,0.003,0.01,90.0
22.22,72,0.004,0.003,0.01,83.0
22.78,73,0.004,0.003,0.01,76.0
23.33,74,0.004,0.003,0.01,70.0
23.89,75,0.004,0.003,0.01,65.0
24.44,76,0.004,0.003,0.01,60.0
25.0,77,0.004,0.003,0.01,56.0
25.56,78,0.004,0.003,0.01,52.0
26.11,79,0.004,0.003,0.01,48.0
26.67,80,0.004,0.003,0.01,45.0
27.22,81,0.004,0.003,0.01,42.0
27.78,82,0.004,0.003,0.01,40.0
28.33,83,0.004,0.003,0.01,38.0
28.89,84,0.004,0.003,0.01,36.0
29.44,85,0.004,0.003,0.01,34.0
30.0,86,0.004,0.003,0.01,32.0
30.56,87,0.004,0.003,0.01,30.0
31.11,88,0.004,0.003,0.01,29.0
31.67,89,0.004,0.003,0.01,28.0
32.22,90,0.004,0.003,0.01,27.0
32.78,91,0.004,0.003,0.01,26.0
33.33,92,0.004,0.003,0.01,25.0
33.89,93,0.004,0.003,0.01,24.0
34.44,94,0.004,0.003,0.01,23.0
35.0,95,0.004,0.003,0.01,22.0
1.67,35,0.008,0.006,0.02,-1
2.22,36,0.008,0.006,0.02,-1
2.78,37,0.008,0.006,0.02,-1
3.33,38,0.008,0.006,0.02,-1
3.89,39,0.008,0.006,0.02,-1
4.44,40,0.008,0.006,0.02,-1
5.0,41,0.008,0.006,0.02,-1
5.56,42,0.008,0.006,0.02,-1
6.11,43,0.008,0.006,0.02,-1
6.67,44,0.008,0.006,0.02,-1
7.22,45,0.008,0.006,0.02,-1
7.78,46,0.008,0.006,0.02,-1
8.33,47,0.008,0.006,0.02,-1
8.89,48,0.008,0.006,0.02,-1
9.44,49,0.008,0.006,0.02,-1
10.0,50,0.008,0.006,0.02,-1
10.56,51,0.008,0.006,0.02,-1
11.11,52,0.008,0.006,0.02,-1
11.67,53,0.008,0.006,0.02,-1
12.22,54,0.008,0.006,0.02,-1
12.78,55,0.008,0.006,0.02,-1
13.33,56,0.008,0.006,0.02,-1
13.89,57,0.008,0.006,0.02,161.0
14.44,58,0.008,0.006,0.02,149.0
15.0,59,0.008,0.006,0.02,139.0
15.56,60,0.008,0.006,0.02,129.0
16.11,61,0.008,0.006,0.02,120.0
16.67,62,0.008,0.006,0.02,112.0
17.22,63,0.008,0.006,0.02,105.0
17.78,64,0.008,0.006,0.02,98.0
18.33,65,0.008,0.006,0.02,92.0
18.89,66,0.008,0.006,0.02,86.0
19.44,67,0.008,0.006,0.02,80.0
20.0,68,0.008,0.006,0.02,73.0
20.56,69,0.008,0.006,0.02,66.0
21.11,70,0.008,0.006,0.02,60.0
21.67,71,0.008,0.006,0.02,55.0
22.22,72,0.008,0.006,0.02,50.0
22.78,73,0.008,0.006,0.02,46.0
23.33,74,0.008,0.006,0.02,42.0
23.89,75,0.008,0.006,0.02,39.0
24.44,76,0.008,0.006,0.02,36.0
25.0,77,0.008,0.006,0.02,34.0
25.56,78,0.008,0.006,0.02,31.0
26.11,79,0.008,0.006,0.02,29.0
26.67,80,0.008,0.006,0.02,27.0
27.22,81,0.008,0.006,0.02,26.0
27.78,82,0.008,0.006,0.02,24.0
28.33,83,0.008,0.006,0.02,23.0
28.89,84,0.008,0.006,0.02,21.0
29.44,85,0.008,0.006,0.02,20.0
30.0,86,0.008,0.006,0.02,19.0
30.56,87,0.008,0.006,0.02,18.0
31.11,88,0.008,0.006,0.02,18.0
31.67,89,0.008,0.006,0.02,17.0
32.22,90,0.008,0.006,0.02,16.0
32.78,91,0.008,0.006,0.02,16.0
33.33,92,0.008,0.006,0.02,15.0
33.89,93,0.008,0.006,0.02,15.0
34.44,94,0.008,0.006,0.02,14.0
35.0,95,0.008,0.006,0.02,13.0
1.67,35,0.013,0.01,0.03,-1
2.22,36,0.013,0.01,0.03,-1
2.78,37,0.013,0.01,0.03,-1
3.33,38,0.013,0.01,0.03,-1
3.89,39,0.013,0.01,0.03,-1
4.44,40,0.013,0.01,0.03,-1
5.0,41,0.013,0.01,0.03,-1
5.56,42,0.013,0.01,0.03,-1
6.11,43,0.013,0.01,0.03,-1
6.67,44,0.013,0.01,0.03,-1
7.22,45,0.013,0.01,0.03,-1
7.78,46,0.013,0.01,0.03,-1
8.33,47,0.013,0.01,0.03,-1
8.89,48,0.013,0.01,0.03,-1
9.44,49,0.013,0.01,0.03,-1
10.0,50,0.013,0.01,0.03,-1
10.56,51,0.013,0.01,0.03,-1
11.11,52,0.013,0.01,0.03,-1
11.67,53,0.013,0.01,0.03,163.0
12.22,54,0.013,0.01,0.03,150.0
12.78,55,0.013,0.01,0.03,139.0
13.33,56,0.013,0.01,0.03,129.0
13.89,57,0.013,0.01,0.03,120.0
14.44,58,0.013,0.01,0.03,111.0
15.0,59,0.013,0.01,0.03,103.0
15.56,60,0.013,0.01,0.03,96.0
16.11,61,0.013,0.01,0.03,90.0
16.67,62,0.013,0.01,0.03,83.0
17.22,63,0.013,0.01,0.03,78.0
17.78,64,0.013,0.01,0.03,73.0
18.33,65,0.013,0.01,0.03,68.0
18.89,66,0.013,0.01,0.03,64.0
19.44,67,0.013,0.01,0.03,60.0
20.0,68,0.013,0.01,0.03,54.0
20.56,69,0.013,0.01,0.03,49.0
21.11,70,0.013,0.01,0.03,45.0
21.67,71,0.013,0.01,0.03,41.0
22.22,72,0.013,0.01,0.03,37.0
22.78,73,0.013,0.01,0.03,34.0
23.33,74,0.013,0.01,0.03,32.0
23.89,75,0.013,0.01,0.03,29.0
24.44,76,0.013,0.01,0.03,27.0
25.0,77,0.013,0.01,0.03,25.0
25.56,78,0.013,0.01,0.03,23.0
26.11,79,0.013,0.01,0.03,22.0
26.67,80,0.013,0.01,0.03,20.0
27.22,81,0.013,0.01,0.03,19.0
27.78,82,0.013,0.01,0.03,18.0
28.33,83,0.013,0.01,0.03,17.0
28.89,84,0.013,0.01,0.03,16.0
29.44,85,0.013,0.01,0.03,15.0
30.0,86,0.013,0.01,0.03,14.0
30.56,87,0.013,0.01,0.03,14.0
31.11,88,0.013,0.01,0.03,13.0
31.67,89,0.013,0.01,0.03,13.0
32.22,90,0.013,0.01,0.03,12.0
32.78,91,0.013,0.01,0.03,12.0
33.33,92,0.013,0.01,0.03,11.0
33.89,93,0.013,0.01,0.03,11.0
34.44,94,0.013,0.01,0.03,10.0
35.0,95,0.013,0.01,0.03,10.0
1.67,35,0.021,0.016,0.05,-1
2.22,36,0.021,0.016,0.05,-1
2.78,37,0.021,0.016,0.05,-1
3.33,38,0.021,0.016,0.05,-1
3.89,39,0.021,0.016,0.05,-1
4.44,40,0.021,0.016,0.05,-1
5.0,41,0.021,0.016,0.05,-1
5.56,42,0.021,0.016,0.05,-1
6.11,43,0.021,0.016,0.05,-1
6.67,44,0.021,0.016,0.05,-1
7.22,45,0.021,0.016,0.05,-1
7.78,46,0.021,0.016,0.05,-1
8.33,47,0.021,0.016,0.05,-1
8.89,48,0.021,0.016,0.05,-1
9.44,49,0.021,0.016,0.05,156.0
10.0,50,0.021,0.016,0.05,143.0
10.56,51,0.021,0.016,0.05,132.0
11.11,52,0.021,0.016,0.05,122.0
11.67,53,0.021,0.016,0.05,112.0
12.22,54,0.021,0.016,0.05,104.0
12.78,55,0.021,0.016,0.05,96.0
13.33,56,0.021,0.016,0.05,89.0
13.89,57,0.021,0.016,0.05,82.0
14.44,58,0.021,0.016,0.05,77.0
15.0,59,0.021,0.016,0.05,71.0
15.56,60,0.021,0.016,0.05,66.0
16.11,61,0.021,0.016,0.05,62.0
16.67,62,0.021,0.016,0.05,58.0
17.22,63,0.021,0.016,0.05,54.0
17.78,64,0.021,0.016,0.05,50.0
18.33,65,0.021,0.016,0.05,47.0
18.89,66,0.021,0.016,0.05,44.0
19.44,67,0.021,0.016,0.05,41.0
20.0,68,0.021,0.016,0.05,37.0
20.56,69,0.021,0.016,0.05,34.0
21.11,70,0.021,0.016,0.05,31.0
21.67,71,0.021,0.016,0.05,28.0
22.22,72,0.021,0.016,0.05,26.0
22.78,73,0.021,0.016,0.05,24.0
23.33,74,0.021,0.016,0.05,22.0
23.89,75,0.021,0.016,0.05,20.0
24.44,76,0.021,0.016,0.05,19.0
25.0,77,0.021,0.016,0.05,17.0
25.56,78,0.021,0.016,0.05,16.0
26.11,79,0.021,0.016,0.05,15.0
26.67,80,0.021,0.016,0.05,14.0
27.22,81,0.021,0.016,0.05,13.0
27.78,82,0.021,0.016,0.05,12.0
28.33,83,0.021,0.016,0.05,12.0
28.89,84,0.021,0.016,0.05,11.0
29.44,85,0.021,0.016,0.05,10.0
30.0,86,0.021,0.016,0.05,10.0
30.56,87,0.021,0.016,0.05,9.0
31.11,88,0.021,0.016,0.05,9.0
31.67,89,0.021,0.016,0.05,9.0
32.22,90,0.021,0.016,0.05,8.0
32.78,91,0.021,0.016,0.05,8.0
33.33,92,0.021,0.016,0.05,8.0
33.89,93,0.021,0.016,0.05,7.0
34.44,94,0.021,0.016,0.05,7.0
35.0,95,0.021,0.016,0.05,7.0
1.67,35,0.032,0.024,0.075,-1
2.22,36,0.032,0.024,0.075,-1
2.78,37,0.032,0.024,0.075,-1
3.33,38,0.032,0.024,0.075,-1
3.89,39,0.032,0.024,0.075,-1
4.44,40,0.032,0.024,0.075,-1
5.0,41,0.032,0.024,0.075,-1
5.56,42,0.032,0.024,0.075,-1
6.11,43,0.032,0.024,0.075,-1
6.67,44,0.032,0.024,0.075,-1
7.22,45,0.032,0.024,0.075,165.0
7.78,46,0.032,0.024,0.075,151.0
8.33,47,0.032,0.024,0.075,138.0
8.89,48,0.032,0.024,0.075,126.0
9.44,49,0.032,0.024,0.075,116.0
10.0,50,0.032,0.024,0.075,107.0
10.56,51,0.032,0.024,0.075,98.0
11.11,52,0.032,0.024,0.075,90.0
11.67,53,0.032,0.024,0.075,84.0
12.22,54,0.032,0.024,0.075,77.0
12.78,55,0.032,0.024,0.075,71.0
13.33,56,0.032,0.024,0.075,66.0
13.89,57,0.032,0.024,0.075,61.0
14.44,58,0.032,0.024,0.075,57.0
15.0,59,0.032,0.024,0.075,53.0
15.56,60,0.032,0.024,0.075,49.0
16.11,61,0.032,0.024,0.075,46.0
16.67,62,0.032,0.024,0.075,43.0
17.22,63,0.032,0.024,0.075,40.0
17.78,64,0.032,0.024,0.075,37.0
18.33,65,0.032,0.024,0.075,35.0
18.89,66,0.032,0.024,0.075,33.0
19.44,67,0.032,0.024,0.075,31.0
20.0,68,0.032,0.024,0.075,28.0
20.56,69,0.032,0.024,0.075,25.0
21.11,70,0.032,0.024,0.075,23.0
21.67,71,0.032,0.024,0.075,21.0
22.22,72,0.032,0.024,0.075,19.0
22.78,73,0.032,0.024,0.075,18.0
23.33,74,0.032,0.024,0.075,16.0
23.89,75,0.032,0.024,0.075,15.0
24.44,76,0.032,0.024,0.075,14.0
